source,target
1,2
1,4
1,5
1,16
2,6
2,8
2,13
3,4
4,5
4,16
4,10
4,9
4,18
4,15
4,17
4,12
4,13
4,8
4,6
5,16
6,7
6,8
6,12
6,13
6,14
7,8
8,12
8,13
8,14
9,11
9,14
9,21
10,11
10,16
11,16
11,20
11,14
12,13
12,14
12,16
12,17
13,14
13,15
14,15
14,17
14,18
14,19
14,26
15,16
15,18
16,18
17,18
21,22
21,23
22,23
24,25
24,26
25,26
26,28
26,29
27,28
27,31
28,29
28,31
28,32
29,30
31,32
31,33
34,35
