Id,y,mode
13,1,1
2,0,0
14,1,1
39,1,0
38,0,0
7,0,0
8,1,1
12,0,1
9,1,1
29,1,0
5,0,0
15,0,0
1,1,0
11,0,1
16,1,1
10,0,0
30,0,0
4,1,1
17,1,1
34,1,0
18,1,1
20,0,1
24,0,0
26,1,0
25,1,0
28,1,0
31,1,0
33,1,0
37,0,0
36,0,0
21,1,0
22,0,0
23,0,0
19,1,0
6,1,1
32,1,0
27,1,0
3,0,0
35,0,0
